user_input,reference_contexts,reference,synthesizer_name
Can new students enroll at the university if they don�t have all their required documents? / Is it allowed for someone else to complete my registration on my behalf?,"It is possible to register with missing documents; however, the missing documents must be provided by the students until the deadline reported to them by the university. If the student cannot be present in person for enrollment, someone else may complete the enrollment procedures on behalf of him/her provided that a petition is received. International students must be present in person for enrollment at the university.","Students can register even with missing documents, provided that they submit these by the specified deadline. If unable to attend in person, a representative can register on their behalf. International students must attend in person.",single_hop_question_subject_matter_expert
What steps must students follow if they are re-enrolling in an undergraduate program at METU through entrance exams?,Students who have not been able to complete the English Preparatory Class at DBE previously and re-enroll to an undergraduate program may attend the preparatory class for one more year. Students who were in their freshman year or above at METU during the past two years may not attend the English Preparatory Class if they re-enroll at the university via the Undergraduate Placement Test (LYS) or an equivalent exam. They are to start their studies as freshman students.,Students re-enrolling who didn't finish the English Prep Class may take it for an extra year. Those in freshman year or higher previously at METU begin as freshmen upon re-enrollment.,single_hop_question_subject_matter_expert
"Can students transition to freshman status mid-year by submitting valid EPE, IELTS, or TOEFL scores at the end of their first semester?","According to the regulation in effect, it is not possible to become a freshman student mid-year.","Mid-year freshman status change is not allowed, as per current regulations.",single_hop_question_subject_matter_expert
"As a current DBE student, when should I submit my IELTS or TOEFL score documentation?",DBE students may provide documentation of their IELTS and TOEFL scores during the period from the last day of the spring semester classes until the deadline for the fall semester interactive registrations.,DBE students can submit IELTS or TOEFL scores from the end of spring semester until fall registration deadline.,single_hop_question_subject_matter_expert
Is it possible for a DBE student to receive a transcript?,Transcripts are not issued for DBE students since they do not register for classes.,DBE students don't receive transcripts because they are not registered in courses.,single_hop_question_subject_matter_expert
"As an international student, how should I proceed if I lack an English proficiency test score when applying to METU?","Submitting an English proficiency score is not obligatory for the application. Admitted students who do not submit a valid TOEFL, IELTS, or PTE ACADEMIC score during registration can take ODT� English Proficiency Exam.","If you do not have valid IELTS, TOEFL or PTE Academic scores , you can take METU's English Exam.",single_hop_question_subject_matter_expert
"As an international student, can having an English language exam score improve my application to METU?",Those who have an English language exam score can submit their document to the Additional Certificates section of the application program so that they can strengthen their application.,Applicants with an English language exam score can enhance their application by uploading the score document in the Additional Certificates section.,single_hop_question_subject_matter_expert
"What happens if I don't submit a valid TOEFL, IELTS, or PTE ACADEMIC score when I register at METU as an internetional student?","Admitted students who do not submit a valid TOEFL, IELTS, or PTE ACADEMIC score during registration can take ODT� English Proficiency Exam. Those who do not satisfy the minimum score from this exam will attend English Preparatory Class at the Department of Basic English for one year.","Students admitted without a valid TOEFL, IELTS, or PTE ACADEMIC score may take the METU English Proficiency Exam. If they do not achieve the required score, they must attend a one-year English Preparatory Class at the DBE.",single_hop_question_subject_matter_expert
How can I be exempt from attending the English Preparatory Class at METU as an internetional student?,"Students who submit a valid English Proficiency Exam Result (TOEFL, IELTS, or ODT� English Proficiency Exam) during registration will be exempt from English Preparatory Class and will directly start their undergraduate courses.",IELTS and TOEFL scores are accepted within specific submission periods each academic year.,single_hop_question_subject_matter_expert
What are the accepted English proficiency exams and minimum scores for exemption from the English Preparatory Class at METU?,Exams and the minimum scores accepted by ODT�: https://oidb.metu.edu.tr/en/equivalence-table-english-language-exams-recognized-metu-undergraduate-and-graduate-students,"To view the exams and minimum scores accepted by ODT� for English proficiency, you can refer to their official equivalency table at the link below:

https://oidb.metu.edu.tr/en/equivalence-table-english-language-exams-recognized-metu-undergraduate-and-graduate-students

This page provides details on the recognized exams and the corresponding scores required for undergraduate and graduate students.",single_hop_question_subject_matter_expert
What are the required documents to apply to METU as an international student?,"In order to complete your application, scan each of the mandatory documents listed below and upload these documents to the online application form in pdf or jpg formats (max. 1.5 mb for each file). If the original document is not in Turkish or English, an official translation should also be added. Translation of the documents are not required for the optional documents given below. If the applicant is admitted to the program, the original copies of all the documents will need to be submitted during registration. It is the applicants' responsibility to upload thedocuments correctly and accurately, without any incorrect or missing information.

A. Mandatory documents for all applicants 
A portrait photo
Official Identification Document (Applicants holding a passport need to upload the ID page of their passports. Other applicants can upload a copy of their national identification card instead of passport)
High school diploma/Transitory graduation certificate (The original high school diploma needs to be uploaded. Those who have not yet received their diploma need to upload an official letter -Transitory Graduation Certificate- taken from their high school stating the expected graduation date and the expected CGPA. An Equivalence Letter from the Ministry of Education of Türkiye or from Turkish Embassies which certify that the diploma is equivalent to a Turkish High School Diploma is not required for the application. This document will be required during registration if the applicant receives admission)
Transcript showing all the grades throughout high school education (Applicants should submit an official transcript that shows the all courses and grades taken throughout high school)
A copy of the primary exam/diploma that will be used in the application (The exam/diploma result to be used in the application -SAT, A-levels, International Baccalaureate, TRYÖS etc.- needs to be uploaded. Only the exams/diplomas listed at the ""Application Requirements"" section are accepted. It is not possible to apply using any other exam/diploma results. An applicant needs to have the minimum acceptable score in order to complete the application.)
Application fee (a 55 USD fee will be paid in Turkish liras through the online application system.)
B. Mandatory documents for some applicants depending on the individual case
Enty-exit document taken from e-devlet portal (only for those Turkish citizens who received high school education outside of Türkiye)
Blue Card (only for those who renounced their Turkish citizenship)
Document showing your occupations/activities after your high school graduation (only for those who graduated from the high school more than one year ago)
Document showing that the medium of instruction at your high school was English (only for those who studied at a high school where the medium of instruction was English)
C. Optional documents (To be uploaded to the ""Additional Certificates"" section of the application program. Details: https://iso.metu.edu.tr/en/announcement/how-strengthen-your-application)
Curriculum Vitae
Language exam results (A document showing your proficiency in a foreign language such as English, Turkish or any other language)
Academic exams other than the one you present as your primary application document (such as TRYÖS, YÖS, TQDK, SAT Subject Tests, ACT, national exams etc.)
Reference letter(s)
Statement of purpose
A portfolio that shows your previous works related to the program that you want to study
Certificates that shows your previous activities and trainings related to the program that you want to study
Extracurricular activities (sports, arts etc.)
Documents showing some other special circumstances like disabilities, illnesses or financial situation.","To finalize your application, scan each required document and upload them in PDF or JPG format (maximum file size of 1.5 MB each) to the online application form. If any document is not in Turkish or English, an official translation must be included, although translations are not needed for optional documents. If accepted, you will need to provide the original versions of all documents at registration. Applicants are responsible for ensuring all documents are uploaded accurately, with no errors or omissions.",single_hop_question_subject_matter_expert
Where can I get information about the procedures for summer practice and summer practice insurance?,"Students must first have a preliminary interview at the company/institution where they want to do summer practice. If accepted, they must get the summer practice file (form/report) from the summer practice coordinator in their department. Before starting the practice, they complete the approval procedures (signatures). After completing the practice, they must have the summer practice form/report approved (signed) by the relevant company/institution and submit it to the summer practice coordinator in their department. Some companies choose to send the form/report by surface mail directly to the Dean's Office or the Department Chair. The summer practice is usually registered by the student in the semester following the practice and the grade (S / U) is entered by the concerned course instructor at the end of that semester. During summer practice, students are insured against occupational accidents and diseases. Further information about summer practice procedures and insurance may be obtained from the concerned Department Chair.",Students should first consult their summer practice coordinator to understand the process before making formal requests.,single_hop_question_subject_matter_expert
Can the semester course load be exceeded for graduating students?,The course load of students is limited to the normal course load of a semester. The provisions allowing course loads to be exceeded are specified in the regulation. These regulations are also valid for graduating students. ,Graduate students may exceed the semester course load only with special permission from the department.,single_hop_question_subject_matter_expert
"I don't have the original copy of the bank receipt for my tuition payment, which is a document required to get a refund for my tuition. What can I do? ","You can ask for a new copy of the receipt from the bank where you paid the tuition by stating the date of payment. You can also have the printout of the receipt stamped ""True Copy” by the bank.",You may request a duplicate bank receipt from the issuing bank if the original is missing.,single_hop_question_subject_matter_expert
I don't have a bank account. Can I get a refund by giving the IBAN of an acquaintance? ,No. Refunds can only be transferred to your own IBAN.,Refunds are processed only to the student's personal bank account and not to any third-party accounts.,single_hop_question_subject_matter_expert
Should the bank where I made my payment be the same as the bank for which I gave my IBAN to get a refund?,No. The bank where you made your payment does not have to be the same as your bank account for which you gave an IBAN to get a refund.,The refund bank does not have to be the same as the one used for payment.,single_hop_question_subject_matter_expert
I'm an international student receiving a Turkey Scholarship. I've lost my scholarship. What should I do?,You should contact the Presidency of Turks and Related Communities Abroad. ,International students with Turkish government scholarships should contact the scholarship office for financial assistance.,single_hop_question_subject_matter_expert
Can a student get a student certificate or transcript online?,"You may use our website to make an online request for a student certificate or transcript. However, you cannot get these documents online.  ","Students can obtain a student certificate or transcript online through this website:

https://student.metu.edu.tr/",single_hop_question_subject_matter_expert
How long will it take my transcript to be delivered to my declared address by official mail?,"Following your request, your transcript will be posted to your address within three days the latest. Official mail is sent via state postal service; therefore, state postal service is responsible for the duration of delivery. No mail service is offered via private courier companies.",Transcript requests typically take a few business days to process and deliver after submission.,single_hop_question_subject_matter_expert
Can anyone other than myself fetch my high school diploma or diploma supplement on behalf of me?,"You must apply with a petition, specifying the person who will fetch your high school diploma or diploma supplement on behalf of you. ","To authorize someone else to collect your high school diploma, submit a petition including their information.",single_hop_question_subject_matter_expert
May I apply for a transfer despite not meeting the requirements announced by the university?,Transfer applications of candidates unable to meet the requirements announced by the university are refused at application by the Registrar's Office.,Students who don't meet the eligibility criteria cannot proceed with a transfer application.,single_hop_question_subject_matter_expert
From which universities do you accept transfer applications? ,All students who meet the requirements stated in our announcement may apply for a transfer.,"Transfer applications are accepted if students meet the university's listed criteria, regardless of their current university.",single_hop_question_subject_matter_expert
How many dormitory buildings are available for METU students?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","There are 19 dormitory buildings managed by the METU Directorate of Health, Culture, and Sports.",single_hop_question_subject_matter_expert
Can male students stay in any dormitory at METU?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","Male students can stay in Dormitories 2, 4, 6, 8, 9, İsa Demiray and a specific block in Dormitory 19. They also have access to Refika Aksoy Dormitory.",single_hop_question_subject_matter_expert
Are there specific dormitories for female students at METU?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","Yes, Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.",single_hop_question_subject_matter_expert
What kind of services does the METU Dormitory Office provide?,"There are 19 dormitory buildings run by the METU Directorate of Health, Culture and Sports. 
Male students can stay in the Dormitories 2, 4, 6, 8, 9, and İsa Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory. Female students can stay in the Dormitories 1, 3, 5, 7, and Faika Demiray Dormitory, in addition to a certain block allocated to them in Dormitory 19, and Refika Aksoy Dormitory.
As for the guest houses, Osman Yazıcı Guest House, Guest House 12, and Dormitory 16 are allocated for female students, while Faik Hızıroğlu Guest House and Guest House 15 are allocated for male students.
The Office of Dormitories, with the aim of solving our students' accommodation issues by offering a high standard service, obtained TSE-EN ISO 9001-2000 certificate of quality from the Turkish Standards Institution (TSE) in 2005. Regarding the quality of our dormitory services, the inspections carried out in 2021 in accordance with the TSE-EN ISO 9001:2015 standards were completed with success.
The services provided by our unit are carried out according to the procedures, instructions, duties, and responsibilities determined within the Dormitory Regulations, Student Discipline Regulations of the higher education institutions, decisions taken by the Executive Board of Dormitories, and the certificates of quality.
Therefore, every year, the Executive Board of Dormitories evaluates the dormitory applications of students based on the current capacity of dormitories, the number of applications, and the conditions for staying in the dormitories established in accordance with the aforementioned regulations and approved by the Rectorate. Then, the registration procedures of the students whose applications are accepted are conducted.
We endeavor to provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.
","The METU Dormitory Office provides provide 24/7 uninterrupted service that includes an environment of respect, love, equality and trust in our dormitories with an understanding that prioritizes a service that is high-quality, transparent, modern but at the same time adherent to the traditions of METU, which can only be achieved with a team spirit.",single_hop_question_subject_matter_expert
Is there a fridge provided in METU dormitory rooms?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Yes, each room includes a mini-fridge.",single_hop_question_subject_matter_expert
What furniture is provided in each METU dormitory room?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Each room has a study desk, a chair, a closet for clothes, and a closet for shoes.",single_hop_question_subject_matter_expert
How often are bedding sets changed in METU dormitories?,"There is a mini-fridge in each room. For each student, a studying desk, a chair, a closet for clothes, and a closet for shoes are provided in each room. In addition, the dormitory offers students a bedding set consisting of bed sheet, blanket and pillow. Students can also bring and use their own bedding sets if they prefer to do so (but in this case, washing and cleaning these bedding sets will be their responsibility). In our dormitories, there are common studying rooms, TV rooms, laundry rooms, and kitchens as well as another common room for students of the Department of Architecture so that they can carry out their activities such as drawing. A sufficient number of automatic washing machines, dryers, irons, and ironing boards are available to students in the laundry rooms.
The bedding sets in the room are changed periodically, but if need be, they can be changed outside their regular cycle as well. These bedding sets are washed and ironed in the laundry room, where industrial washing machines are used. There is hot water in our dormitories ready for use 24/7.
","Bedding sets are changed periodically, with additional changes possible outside the regular cycle if needed. ",single_hop_question_subject_matter_expert
Is transportation available between the city center and METU dormitories?,"There are buses and minibuses operating between the city center and the dormitories between the hours 07.00 and 24.00. Besides, there also are ring busses that operate between dormitories and departments.
","Yes, there are buses and minibuses operating between the city center and METU dormitories from 07:00 to 24:00. Furthermore, there also are ring busses that operate between dormitories and departments.",single_hop_question_subject_matter_expert
Who is eligible to apply for METU dormitories?,"Students whose family resides outside of Ankara can apply for the dormitories. Students who start our university this year, if they want to stay in our dormitories, must fill out the dormitory-related sections on the YKS Registration Program website during their university registration process and thus complete their applications.
",Students whose families reside outside of Ankara can apply for dormitories.,single_hop_question_subject_matter_expert
